title,content,type
"Song: When that I was and a little tiny boy (With hey, ho, the wind and the rain)","When that I was and a little tiny boy,
    With hey, ho, the wind and the rain,
A foolish thing was but a toy,
    For the rain it raineth every day.

But when I came to mans estate,
    With hey, ho, the wind and the rain,
Gainst knaves and thieves men shut their gate,
    For the rain it raineth every day.

But when I came, alas! to wive,
    With hey, ho, the wind and the rain,
By swaggering could I never thrive,
    For the rain it raineth every day.

But when I came unto my beds,
    With hey, ho, the wind and the rain,
With toss-pots still had drunken heads,
    For the rain it raineth every day.

A great while ago the world begun,
    With hey, ho, the wind and the rain,
But thats all one, our play is done,
    And well strive to please you every day.",Nature
Sonnet 1: From fairest creatures we desire increase,"From fairest creatures we desire increase,
That thereby beautys rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory;
But thou, contracted to thine own bright eyes,
Feedst thy lights flame with self-substantial fuel,
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Though that art now the worlds fresh ornament
And only herald to the gaudy spring,
Within thine own bud buriest thy content,
And, tender churl, makst waste in niggarding.
   Pity the world, or else this glutton be,
   To eat the worlds due, by the grave and thee.",Nature
Sonnet 18: Shall I compare thee to a summers day?,"Shall I compare thee to a summers day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summers lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or natures changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou owst;
Nor shall death brag thou wanderst in his shade,
When in eternal lines to time thou growst:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",Nature
"Spring, the sweet spring","Spring, the sweet spring, is the years pleasant king,
Then blooms each thing, then maids dance in a ring,
Cold doth not sting, the pretty birds do sing:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The palm and may make country houses gay,
Lambs frisk and play, the shepherds pipe all day,
And we hear aye birds tune this merry lay:
      Cuckoo, jug-jug, pu-we, to-witta-woo!

The fields breathe sweet, the daisies kiss our feet,
Young lovers meet, old wives a-sunning sit,
In every street these tunes our ears do greet:
      Cuckoo, jug-jug, pu-we, to witta-woo!
            Spring, the sweet spring!",Nature
When I Was Fair and Young,"When I was fair and young, then favor graced me.
Of many was I sought their mistress for to be.
But I did scorn them all and answered them therefore:
Go, go, go, seek some other where; importune me no more.

How many weeping eyes I made to pine in woe,
How many sighing hearts I have not skill to show,
But I the prouder grew and still this spake therefore:
Go, go, go, seek some other where, importune me no more.

Then spake fair Venus son, that proud victorious boy,
Saying: You dainty dame, for that you be so coy,
I will so pluck your plumes as you shall say no more:
Go, go, go, seek some other where, importune me no more.

As soon as he had said, such change grew in my breast
That neither night nor day I could take any rest.
Wherefore I did repent that I had said before:
Go, go, go, seek some other where, importune me no more.",Nature
Written in her French Psalter,"No crooked leg, no bleared eye,
No part deformed out of kind,
Nor yet so ugly half can be
As is the inward suspicious mind.",Nature
"Astrophil and Stella 31: With how sad steps, O Moon, thou climb'st the skies","With how sad steps, O Moon, thou climb'st the skies!
How silently, and with how wan a face!
What, may it be that even in heav'nly place
That busy archer his sharp arrows tries!
Sure, if that long-with love-acquainted eyes
Can judge of love, thou feel'st a lover's case,
I read it in thy looks; thy languish'd grace
To me, that feel the like, thy state descries.
Then, ev'n of fellowship, O Moon, tell me,
Is constant love deem'd there but want of wit?
Are beauties there as proud as here they be?
Do they above love to be lov'd, and yet
Those lovers scorn whom that love doth possess?
Do they call virtue there ungratefulness?",Nature
Monsters,"You were tired, I saw it in your face.
The end was coming at a fast pace.
But how I wanted you to stay...
In time, I came to understand,
your will was not my command.
Life just became too hard for you.
I didn't want to see...but I knew
You had to be where you could fly.
Mom, it's so hard to say good-bye.
You were mine for all those years.
I'll miss you and cry my tears.
But I also know that's okay...
for we'll be together again some day.
",Death
"Why You?
","as each day passes
I sit and wonder why?
why you were taken 
without a chance to say goodbye
and as I start thinking
with tears running down my cheeks
I think of life without you and it really makes me weep

I think of the future
and nothing seems that bright, nothing is the same without you by my side
all I have is memories and a hole inside my heart
I knew how much I loved you from the very start

I look at the pillow beside me where you use to rest your head
now all I have is a grave to look at instead
I long for you to hold me 
tell me everything's ok
I just want so much for this pain to go away

you take life for granted without a thought about the day someone that you truly love is suddenly taken away
",Death
Visits To A Grave,"My first visit to your grave was on Christmas Eve,
where I placed a Christmas tree for all to see.

A sense of closure is what I was after, 
so once again in my life I could enjoy some laughter.

I remember, Grandma, you were always so sad that no one placed anything on Grandpa's grave, 
so a decorated tree to both of you is what I gave.

I plan to be there to visit you and Grandpa on every important day, 
my word I promise I will not betray.

Flowers I will always bring with words of sentiment, 
I hope my actions and words of love are evident.

Remember when our visits are over as I turn to leave, 
I will always return-what I promise you can always believe.
",Death
Respects To Love,"Oh darling, my sweet darling, 
today, we left the base.
I'm sad and I am lonely
and I ache to see your face. 

I know you've done your duty
I know I've done mine too,
but neither of us expected
that I'd be living without you. 

They tell me have faith in Jesus,
they tell me have faith in love
but the only thing I'm sure of
is that you're watching from above.

I think about your last days
and the last time that we shared
and I think about our babies
and I hate that I'm so scared. 

I hope that they'll remember you
and time is never kind,
but I swear I'll keep my promise
and you'll never be left behind. 

If you're listening, if you hear me
know our love will never end;
You'll live on in my heart forever
And someday, we'll meet again.",Death
Death Unnoticed,"Out there in the Milky Way,
Where a billion stars call home,
When you look really close,
You'll see that each is alone.

No one less important
When lighting the evening skies,
Yet very few take notice
When one of them dies.

A black hole is created;
A dark shadow is cast,
And only those who are closest
Fear how long this will last.

The void that has been left there
Seems to draw all within.
Only time has the power to
Help the light shine again.
",Death
"God's Angel
","How do I say this 
And where do I start
Everything hurts
Especially my heart
It hurts me so much
That I can't see you anymore
I wish I got to say my goodbyes
Before you walked in God's door
It makes me feel better
You're an angel in heaven
You're happy and at peace
And one day see you again
I miss and love you deeply
And I try not to cry
But I know I'll see you later
So this is not my goodbye
",Death
Tears Of Sorrow,"Trying to let go of these memories of sorrows
which are trapped inside of me,
where I feel alone, no one sees me crying.
I close my eyes and I see my dreams,
Dreams of tomorrow, the way I want things to be.
Angel, keep watch over me.
The memories keep control of me,
The bad storms and cold weather rain
which fall from the heavens.
Angel, wash away these memories which are inside me.
I want to cry, I want to cry,
Tears from heaven falling from my eyes,
Wash away the pain which keeps control of me.
Angel, sing, sing the song
which will bring the dreams of tomorrow,
Of sunshine, not of rain,
Letting go of the memories
Which trap my sorrows inside of me.
",Death
Dear Little Howie,"Your Dad is your angel
              gone to Heaven above.
             His wings now surround you
              with protection and love.

             He watches and smiles
               with fatherly joy
             At the antics and laughter
               of his precious boy.

             And though here on Earth
               you will never know him
             There's a bond between you
               that cannot be broken.

             Then someday, God tells us,
               we'll all be together
             Where love is eternal
               and we'll all live forever.

             So be glad, Little Howie,
               live life without fear.
             Your Dad is your angel
               and he'll always be near.
",Death
Stolen Child,"The day they came to steal you, Grace, from my loving arms,
Was the worst day of my life,
To see you crying, and holding out your arms, 
Will live with me forever.

I think of you each and every day,
My heart breaks, just thinking of you,
Where are you darling? What are you doing?
To never hold you close to me, and kiss your tears away.

All I have are memories of you, the way you smiled, your soft golden hair, your smell, your touch,
It's so hard to tell you how much I miss you,
You will never be forgotten, my heart is with you now.

One day, darling Grace, I will see your beautiful smile and face,
And hold you in my arms.
Until that day, my darling, I love you so
and you will be in my heart and soul

Goodbye, my darling, I will see you soon, but be happy and remember
wherever you are that your mummy loves you dearly and always will. 
Goodbye, God bless until we meet again.
",Death
Sometimes In Our Lives,"Sometimes in our lives
we feel a great deal of pain
because we lose someone special.
These feelings we can't explain.

Sometimes in our lives
the lasting of the pain is far too long,
and though we try to fight it,
the feelings are just too strong.

Sometimes in our lives
things can't be controlled,
though we wish they could.
The secrets left untold.

Sometimes in our lives
we see things differently from what they are,
but if we actually saw the truth,
it might leave a nasty scar.

Sometimes in our lives
the truth is better left alone 
because in all actuality
the truth is nothing but our foe.
",Death
You Took It Away,"Mom, I love you
Mom, I miss you
Yet you left me alone in this big world

You gave me life
Yet you took my heart
And died with it

I no longer know how to smile
I no longer know how it feels to be loved
Because you took everything 

As I sit here and think was it me
Or was it you
I guess I will never know why

",Death
Cassidy,"Does just seeing me come your way make you smile?
Have I ever done something silly, something that made you laugh?
Does the sound of my voice give you joy?
Does the touch of my hand give you warmth in your heart?

Will you think of me and smile?
Will you reflect on the things I have done and laugh?
Will you remember the sound of my voice finding joy?
Always remember the love and the warmth in my heart, for now it is yours!

For I have lived and brought you my smile!
For I have lived and given you my laughter!
For I have lived and given you my joy!
Remember that your heart now holds my smile, my laughter and my joy!

The love and warmth of my heart is with you because through my soul I found joy in life.
God has given me all of these things and now I leave these things with you, 
I do not leave you behind, I leave behind these things that God gave to me, I give to you!
For the life that I have lived and in yours I will always be, for you will always carry a part of me!
",Death
Sailing To A Far-Away Land,"Overwhelming lust for times long gone
The wet dog shakes
Pungent orders fill the room
What a mess
Help, I'm going down
Tears won't change it
Words, empty words
Anger
Oh, I'm angry
I just can't shake it
Invisible barriers crowd my presence
I just can't shake it off
Help, I'm going down with the boat
As captain, I want to sail to some far away land
I can't shake it off
A rancid taste in my mouth
Milk...I drank milk and the taste lingers
I've had enough
I want peace
I want joy
I want to sail to a far-away land
I'm so tired
I want to sleep
I want to dream
He is gone
Oh, he is gone
",Death
That Girl,"Forever feeling her life is dying
But the doctors keep on lying.
""Your daughter will be fine,
Just give her some time.""

But she wasn't okay
Because your baby girl took her life today.
She couldn't keep running
And she wouldn't stand living.

Her silent plea's for love
Left her heart on black doves.
""I'm in pain""
Her innocence cut, her pride slain.

Her cries fell on deaf ears
So no one realized her fears.
No one saw her fatal change
Until her heart was out of range.

She wrote out letters 
Saying her life would be better.
She laid the pistol on her heart
And blew her body apart.

Her parents cry themselves to sleep
And all her friends weep.
They loved that girl well
And left her alone in Hell.

Maybe her soul can be free
And everyone will see
The lost life of one teen
And the love there could have been.
",Death
"The Fight
","My bodies cold
lips are blue
why did I do this because of you?

I feel the earth below me 
like a pillow under my head
no knives, no guns, but pills instead

The bottle lays empty
cap unscrewed
what did I do? what did I do?

My spirit floats my body lays
my lover finds me
and he prays

I reach for him
I'm sucked away
like a deep crest of a wave

he pounds the ground
screaming why oh why?
I asked myself why did I?

My parents arrive, my best friend too
I thought to myself, What did I do!?

I look away the pains to deep 
my life is over because of me

I look back for one last glance
they zip me up in the body bag.
I did this to ease my pain
I lost instead of gained

as I look down my family 
I regret that night
my life stopped ticking
because of a fight.
",Death
This Is For The Best,"one sad cold night
a boy sat in his chair
picked up a gun
as he ran his fingers through his hair
he sat and cried as he thought
everything that's happened
has all been my fault
he said if I was gone
this would all be better
and he told her 
""I love you now more than ever""
he said ""trust me
this is for the best
you will see
cause after I'm gone
no more fighting, you'll be free""
he grabbed a bullet
an put it in the gun
said, ""I love you so much
but now I have to run""
he said ""I'm sorry I can't take this no more.
I've let down so many people
I wish I could go back to before""
he hung up the phone 
and pulled the trigger
looked down at his chest
as the pain grew bigger
his eyes filled with tears
they started to pour
as soon as his family ran in
he fell to the floor
",Death
Why Dad Did You Choose Suicide?,"Why Dad,
Why did you chose to die?
You left no note and me with why?
You thought you were doing what was best and right.
Why, oh why, did you have to end the fight?
Your pain is something I will never understand.
You must have been so afraid to take this stand.
You left me with a title I am sad to attain.
Suicide Survivor, but who should I blame?
I know your decision was painful to make.
The thoughts in your head
Must have been unbearable to take.
Now that you're gone, I think of you a lot.
You couldn't have known the suffering this has brought.
I pray you are at peace my Angel, and I am in pain.
I count the minutes to Heaven and seeing you again.
",Death
Zach's Poem,"I wish that I could talk to you,
and beg you not to go.
I wish I asked what you were going through,
but now I'll never know.

I wish that I had some warning
of what you'd do that night,
and that you'd given me a chance to save you,
to help you make things right.

I wish that you could've soldiered on,
and worked through the pain.
If you had, I promise you,
you would've been happy one day.

I wish that the last time I saw you
I didn't rush away.
I wish that I had hugged you harder,
and told you I loved you that day.

I wish that I could bring you back
to see you one last time,
to hug you close, to hear your voice,
and then the world would be fine.

But all these things can't ever happen,
the nightmares are all about you.
There's not one thing I can change,
because these wishes will never come true.

",Death
What Would You Do,"You look at her and call her a whore 
when she is fighting in this secret war. 
you do not know what she has been through, 
but with the most sincere regret I do.
I cried with her every night 
but then one day she gave up the fight. 
the truth of the story is that she was not a whore 
it was without consent that he came through her door. 
there was nothing she could do or say 
he pushed her out of his way 
she tried to scream and shout as loud as she could 
but it didn't do her any good.
Once everything was said and done 
9 months later she had a son. 
She could never get past the pain 
so here in front of me she lays 
there's a hole through her head as she lies in a pool of red. 
There is nothing that you can do or say 
For she has long gone away
",Death
"
I Had To Cry Tonight","Winter is here, the air is cold, the snow is deep.

His favorite time of year, he loved the outdoors and the 
challenges of the hunt, the fish, the race.

We planned together, worked together to prepare, and then raced
together as only a son and father can.

We shared our victories and defeats as only two best friends can.

The pictures of Christmas past are only images on a glossy
piece of paper. 

They are no longer memories to relive and share together.

There are no more races to be won or lost.

There are no more stories of the hunt or the fish.

There are only memories of what was and the realization
of what there will not be.

I had to cry tonight.",Death
All On A Silent Night,"On a silent night.
I lay in the dark, not caring, trying not to breathe. 
It's almost time, time to say goodbye.
Never again will I shout in pain.
Never again will I scream in vain.
I'm done with these feelings I can't control.
There is no more time to make amends.
No more time to fix everything.
My time is finally up.
I lay silently.
In the dark, alone.
Never moving, never speaking.
Not making a single sound.
I don't want to hurt anyone.
The people I love are better without me.
This is what I think, for now.
I put the blade to my wrist.
Cutting deeper, and deeper.
The blood flows, and I slowly slip away.
Consciousness fades.
The pain finally ends.
Only to begin again.
I look back as I float away.
Look at the pain, on their faces.
The pain, as they discover my body.
The pain that will be there, forever.
It tears my heart in two.
To watch them, as they cry.
Cry over me.
More pain, even in death.
I thought it was the end.
But I guess there is no escape.
From this much pain.
Never an escape.
I hurt those I love. 
And I realize, that was what was hurting me.
But now its to late.
I ended it, forever.
There is no going back.
Their pain is endless.
I caused it, my fault, forever.
All on that Silent night.
",Death
Mirror,"My life is now my delusion,
A world made of fantasies.
Happiness is no longer the illusion,
My life is my new disease.

No longer waiting to see what happens,
No more waiting on fate.
I will decide where it all ends,
I will show you all my hate.

You claim to be full of anger,
You spread nothing but lies.
Your time in my mind is in danger,
For you are whom I truly despise.

The look in your eyes is hard to handle,
It's almost something to be feared.
Is this true or just another scandal?
Where is your face--just mine I see mirrored.
",Death
No More Pain,"Crazy thoughts in his head, 
all he wants is to be dead.
Inside he's screaming, feels a lot of pain,
day by day he's going insane.

His drinking increases he wont stop,
all that including smoking pot.
Drugs thinking for him, he can't think,
all he wants is for his mind to be blank.

He plans the day, says goodbye,
we think jail, but that was a lie.
He's screaming we don't hear him,
""This is the only way"", he thinks, 
""I'm not going back to the pin.""
He tries to seek help, they don't listen, they didn't care how he felt.

That night he took a rope put it around his neck and choked.
No more pain, at least not for him,
all because of drinking and drugs I lost my best friend.

No more crazy thoughts in his head,
he got what he wanted...now he's dead.
",Death
Let Me Go,"Just a girl
In this world while it twirls when it whirls
her head in a haze
can't seem to find away out
If she screams no matter what she shouts
Not a soul hears her cry
There's nothing but dark skies
She's consumed by her morbid thoughts
Everything around, the pain has brought
Her slit wrists 
Her bloody grip
She raised her arm once more
on the bathroom floor
the blood reaches her neck life flows out
still not a soul listens for her shout
she's left she's flown
to a happier place 
where even her scars are no disgrace 
that girl now has a smile on her face
",Death
Speak To My Heart,"So Silent... So still
Listening for God's Will
Hoping I can hear Him
Speak to my heart.

Wishing I was flawless, perfect and pure 
Wondering what life trials I'm destined to endure. 
Eager to seek Him, eager to grow,
What's really inside me only He and I know. 

Constant Hunger and constant thirst,
Constantly striving to put the Lord first.
Feeling unsettled like something's not right 
It's a Spritual war and I'm ready to fight.

Help me, Lord. Make my heart your reflection!
Calm my spirit Lord, point me in the right direction.

With everything I am I want to serve You, 
Hold me in your hands Lord, so to you I stay true.

My life is yours God, this I reaffirm today, 
In everything I do Lord, You have the final say.

My heart is heavy like I lost a loved one, 
My soul is crying for comfort from His Son.
Lord Jesus, Come! Be everything that I am!
Help me to see and live Your master plan.

To you Lord God I give all the glory,
Be alive in me father while I tell the world my story.
I lost my life for you the night of December eighth, 
I thank you every day Lord, for making my path straight.

I am always falling down Lord, remaining on my knees, 
It's a constant reminder only you can meet my every need.

So I look to you in prayer and I ask with a sincere heart, 
Cleanse me, hold me, lead me, away from the death of dark.",Spritual
Finding Your Spritual Guides,"Who are they, what do they do?
Where do they come from, are they for me and you?
What do they look like, how do they sound?
Where do you keep them, where are they found?

Can you hear them, see them, touch them 
How long do they stay?
Maybe a year, a week or just even a day

Questions you ask of them you see
They are here to help us you and me
To guide and love us through all our years
Keeping away darkness and negative fears

But to find one yourself there's little to do 
Just relax and listen to the true you
The little word or thought in your head
Is it a guide or something you read

My guess is with little effort and care
You're going on a journey so be prepared
To a wonderful place that's hard to have foreseen
Where your guides are and have always been 

Talk to them and listen with ease
To what they say you will be pleased 
So now you know your questions fulfilled
Because you took the time your mind you stilled

It doesn't take much, just a few minutes a day
To meet your guides who have something to say
Words of great wisdom given with love
To spread round the world from up above",Spritual
Are There Angels,"Are there angels here beside us as we journey life's winding road,
Sent from heaven here to guide us along
future paths unknown?

I saw an angel in my dream with an
iridescent smile,
raven hair, delicate wings and a
warm angelic style. 
She bore a sweet resemblance to
someone I used to know,
but the era had lapsed, long since passed, for the winds of time do blow.
She told me of a heavenly land, a
paradise she claimed,
that awaits the souls of everyone who
worships God's name.
She showed me living waters baring
life of endless flow,
unconditional love for our master above
a place where streets are paved in gold.
And when my dream came to an end she
kissed me tenderly,
whispered we'll soon meet again when
God feels it's meant to be.
In the morning I awakened to the 
dawning of the day,
with my spirit a glow for I'd been 
kissed by a rose,
in this dream I'll cherish till my
dying day.

Yes angels walk beside us however
unbelievable it seems,
sent from heaven here to guide us
even in our dreams.",Spritual
Reflection,"What a pathetic girl, staring back into the mirror.
What a timid girl, overcome by fear.
What a shell of a girl, locked up inside.
What a forgotten girl, pushed off to the side.

Lord, why did You call me to do these things for You?
Do You really think this is something I could make it through?
These expectations You've given me, I cannot live up to
Lord, why did You ever call me to be a servant for You?

Tears spring into my eyes as I stare at my reflection.
Guilt takes control and yells with expression,
""What a coward! What a waste of time! What a weak and useless failure!
How is God going to use you?! You will only ruin your future!""

""That. Is. My. Child,"" booms a voice from above.
""That is my precious daughter, whom I deeply love.
She is an empty vessel for My power and glory.
She is a broken girl whom I will give a beautiful story.""

Jesus turns to me and takes the mirror from my hand.
""You're looking at the wrong reflection, that's why you can't understand.""
He hands me a cup, full of red blood.
""This is how I see you, My child, saved by My love.""

I look into the cup, full to the brim
I look at my reflection, then back up at Him.
I shake my head. ""How could You love me this much?""
""My daughter, that is grace, and it is more than enough.""

""I supply your every need.
Your help is found in Me.
I empower the fearful,
And I strengthen the weak.""

""Go and show My children they are loved by Me.
Listen for My voice, trust in My peace.
Do not worry over the future,
And never believe you are a failure.""

Then I fall on my knees and cry,
""I think I finally understand why.
Lord, here am I, send me.
Oh, thank You for helping me to see
I am precious, I am loved.
With You, I will always be enough.""",Spritual
Lifes Enchanted Garden,"In life's enchanted garden
many blossoms there to see
And in the center of them all
is life's enchanted tree

The blossoms are the friendships
we've encountered through the years
Helped us through our trials
had us triumph through our fears

The wonders of the center tree
with roots stretched deep within
Is the Source that gives us life
and cleansed us from all sin

with branches wide and outstretched
reach out wide to you and me
To comfort our weary souls
from bondage, they set us free

So go to your enchanted garden
and there you're sure to find
A breath of life's purest air
which will calm your weary mind",Spritual
I Believe,"I believe in a child's laughter
and in happily ever after.

I believe in hugs and kisses
and making wishes.

I believe in reaching for a star
and in loving who you are.

I believe in emotional feelings
and in Spritual healing.

I believe in ""let go and let God.""
He knows the plan, no matter how odd.

I believe that a forgiving heart
will never break apart.

I believe in leading the way,
taking along all those who stray.

I believe in sharing treasures
gives back so many pleasures.

I believe in prayer
even when life doesn't seem fair...",Spritual
My Time,"Today will be a new day
In the name of God, that's what I say
I will not let people bring me down
I have to keep trying.

Never give up,
I will prevail,
God will protect me from all my fears, all my problems,
I decide what makes me happy.

Joy is my key,
Love is unleashed from within me,
Tears of pain and hurt are no more,
My life, my worries, I give to God,
He is the only one,
Who can give me absolute comfort and peace.

I will find great friends at my school, 
Positive, optimistic is my middle name,
Taking risks is my game,
Confusion and loss will be wiped away.

This is my year to rejuvenate myself,
To form and mold myself into someone I thought 
I'd never be,
Brave, risky, care free, stress less, loving, and sociable.

People will like and accept me for the person I'm truly meant to be,
God will make a way for me,
I will excel in all my classes, A's galore,
I will learn to love more, laugh more, live more,
This is my day to shine, and I will not waste it.",Spritual
Angels Everywhere,"There are angels all around us,
Angels everywhere;
Sent to us from heaven above
To comfort, console and share
The mercies of Gods' grace and love
Through an encouraging word
A kind-hearted deed
A whispered prayer
On bended knee.
A gentle touch when no one's there
A peaceful presence in the air
There are angels all around us,
Angels everywhere.",Spritual
I Know,"I don't know where I'm going,
But I do know where I'm from,
I know about pain and sorrow,
The beauty of love and its song,
I know about the heartache,
The suffering the despair,
I know I'll never stop loving,
Or that I really care,
I know why we ask the questions,
And how they came to be,
I know when we find the answers,
We are humbled, Brought down to our knees,
Moral lessons and our need to learn them,
Temperance, Justice, Patience, and Strength,
Understanding, Truth, Wisdom, Courage,
That our thirst will never be quenched,
Striving ever forward but never far enough,
To reach our goal the heavens,
The blessings of those above.",Spritual
If This Day Is My Last,"If this day is my last,
I will be rejoicing,
Reminiscing my memories since my life came to being.
I will spend this day only by praying
To the One who made me, and to Him I'll sing.

If this day is my last,
I will proudly tell the world
That I lived my life to the fullest that I could;
I laughed and smiled though defeated in the fight;
That's how a warrior should be--his power is God's might.

If this day is my last,
I will strum my guitar;
I will sing a hymn, a melodious charm.
Its words will linger in their hearts with glee;
And until the final note, it will forever be.

If this day is my last,
With my family I'll stay;
Chat with mom and dad, with my brothers I'll play.
I will tell them how I valued them much;
Until forever meets the end, my gratitude will last.

If this day is my last,
I will call my friends,
My fellas and buddies and all the rest.
Never a tear will fall from their eyes;
For this day I promise, all laughter will shine.

If this day is my last,
I will hold a pen
And a paper as well for my ultimate test.
There I'll write everything in my mind,
And what my heart truly feels, in this day of flight.

If this day is my last,
I will make every second count;
I will see every person that I care all about.
In the meadows I will lie, and every peak I will climb,
And shout to the world, ""This is my borrowed life!""

If this day is my last,
To the heroes I will tell,
""I will join you now where your souls dwell.""
With your deeds you've made a splendid legacy;
But I don't know in myself if I'll also be.

If this day is my last,
These words will see you,
As a living last utterance of my joyful adieu.
A short life driven by adventurous courses;
This will make the royal mourn in my agony's presence.

In a fallen kingdom no soldier may live;
But in my fallen body--I shall see no one grieve;

If this day-- is my last...",Spritual
In God's Eyes,"In God's eyes we all make mistakes,
But we are still wonderful.
We all do things that can hurt others,
Like lying, cheating, or cursing.
In God's eyes we are still His children. 
In God's eyes we are capable of doing good.
No matter what we say, 
God knows we can.
In God's eyes we all just have to have faith
To know that we can succeed.
We just have to understand that God is with us till the end.
We all go through something,
Whether it's with finances, family problems,
School, or on the job.
God knows that we can all overcome obstacles.
God gives us the strength to do what we have to do
To get over those obstacles.
In God's eyes we are all His children.
If we sin, all we have to do is ask to be forgiven.
In God's eyes some of us are flowers that have been trampled on by the devil.
We have had no water to grow,
But God is our water, 
And to Him we are beautiful roses.
In God's eyes we all can accomplish all things. 
In God's eyes we are all overcomers. 
With God we can overcome all things.",Spritual
Homecoming For Friends,"To my dear friends,
The memories we left behind
Are still fresh on my mind.
How God crossed our paths!

Those wonderful moments
We earnestly shared together
As the best of friends
In my heart shall not disappear.

A friendship that's made to last,
The only prayer of my heart.
I know that someday, somewhere
God will provide a better way

For us to meet once again
And fills our empty cups
With much joy and excitement.
See you soon, my dear friends.

The grandest homecoming
Is yet to happen in a right timing.
Someday the tears of joy
Will flood our lonely hearts.

Laughter will be heard anywhere.
Joyful songs rendered once again.
A warm embrace will set in
And faces will become cheerful.

When it will come into reality,
I'll be grateful to the GOD Almighty,
For a promised is revealed
On His own way and perfect time.",Spritual
Droplets,"Her eyes glinted as sunlight played upon blades of grass.
Dew drops' faces reflected rainbows.
Expressions; like points of crystals
Reaching from deep within.

Her hair moved gently as breeze led the dance.
Dew drops let go of their delicate hold.
Like a tear's joyful journey washing away
Flowing from deep within.

She smiled as rainbows touched her heart.
Droplets let go of their delicate hold.
Like dew drops with faces;
Reflecting from deep within.

She blinked as if waking from a dream.
Ink flowed from her pen
Like a journey of beginnings in the palm of her hand.
Stories from deep within.",Spritual
In Your Garden,"I am growing,
I am growing
this hardy flower, me.

Straining through
the muck and weeds
in my struggle 
to be free.

A glimmer
through the darkness
glowing faintly
from above.

I am reaching,
I am reaching
toward Your light,
Your love.

The promise
of Your Word
where my fragile 
roots take hold,

brings forth a bud
of hope, of hope...
of freedom, yet untold.",Spritual
One Leaf,"Skeletal fingers pointed to an empty winter sky,
Trees shivered naked in the cold.
But hope was striding in with spring,
Brightening rings of promise on the bough.

She, decked in verdant green, appeared,
My eyes assaulted, winter's blindfold gone.
In that warm breeze, her lovers breath,
She danced all spring and summer long.

Then darker days his ardour chilled 
And angered gales tore forth her end.
Just one last dance from branch to ground
And then he veers and lets her go.

Here she lies, flat at my feet,
Death's sombre cloak of brown her dress.
Ribs burst sharp through fading beauty's crown,
She will not dance or charm again.

One tomorrow that can never be,
Her rise and fall complete,
She is absorbed in time,
To feed the future, reason, joy and rhyme",Spritual
Be Brave,"Be Brave
Rain shattering, 
sunlight beaming
capture loneliness wonders in the seas of tender love. 
Close your eyes and think about thee quiet moments and the quiet years. 
Pray for forgiveness, pray for strength, pray for love, pray for courage. 
Awaken desires while crossing the mist of dreams. 
Living in a world; lying on a path; bridging through sacred waters. 
Find wonder; find the absence of love; rejoice in faith; terminate sorrow. 
Settle from pain; grasp for a change. 
Help one or another through times of livelihood. 
Strengthen soul, awaken spirit, and capture courage be brave. 
Try not to look; try not to stare; 
wind yourself from evil; 
raise your voice; 
and strive for strength and courage from the deadness of evil. 
Be brave have strength don",Spritual
My Life,"My life hasn't been great,
But I've made it through.
My life hasn't been easy,
But God said, ""I've got you.""
My life hasn't been all I've wanted,
But I have all that I need.
For God so loved the world.
That's what puts my mind at ease.",Spritual
Journey With Spirit,"Run with me,
Let your arms free,
Lay your head back,
Our spirits are one!
I shall take you to heaven upon my back,
For I am your guide.
Together is how it shall be,
I am yours and you are mine...
Magically we shall take the journey together, I am ""spirit""",Spritual
Faith,"What does FAITH leads to?
When there is faith, there is hope.
When there is hope, there is chance.
When there is chance, there is success.
When there is success, there is wealth,
But when there is wealth, there is greed.
When there is greed, there is evil.
When there is evil, there is hell.
When there is hell, there is suffering.
When there is suffering, there is prayer.
When there is prayer, there is GOD.
When there is GOD, there is eternal life.",Spritual
One Day At A Time,"As I embark on a journey to obtain a sound mind,
I ask that I may not leave anyone behind. 
I'm told this is the reason for free will, 
And by having faith, we have the power to force demons to be still. 
Take heed, for this is not easy. 
It's more than being nice and giving to the needy. 
It's a constant battle within one's soul. 
We must make our hearts warm so they never go cold,
Using our ears so that we may receive instruction,
For defying our Father brings catastrophic destruction. 
So be patient, and take it one day at a time. 
I'm truly blessed, for I turned from a life of crime...",Spritual
Treasures,"Treasures come in so many ways:
the sun that lights the cloudy days,
a rainbow from a summer shower, 
a rose that blooms within an hour.
Yes, treasures come in so many ways. 

A baby's staring, wandering gaze, 
a dolphin's dance on ocean waves.
Yes, treasures come in so many ways. 

The heart beats of two souls in love, 
a beautiful white and peaceful dove.
Yes, treasures come in so many ways. 

A sky full of snowflakes of rarest form,
a cup of cocoa to keep us warm.
Yes, treasures come in so many ways.

A house full of family on holidays.
For these treasures we should give God praise!
Yes, treasures come in so many ways. 

I could keep on counting for days and days!

Source: https://www.familyfriendpoems.com/poem/treasures",Spritual
